"State Exports by HS Commodities"
"Current date: 04/21/2016 11:00 PM (Eastern Daylight Time)"
"Measures: Total Value ($US)"
"State: Total"
"Country: World Total"
"Commodity","Time","Total Value ($US)",
"All Commodities","2016 through February","3,037,005,234"
"All Commodities","January 2016","1,487,482,310"
"All Commodities","February 2016","1,549,522,924"
"01 Live Animals","2016 through February","37,660"
"01 Live Animals","January 2016","14,980"
"01 Live Animals","February 2016","22,680"
"0101 Horses, Asses, Mules And Hinnies, Live","2016 through February","34,960"
"0101 Horses, Asses, Mules And Hinnies, Live","January 2016","14,980"
"0101 Horses, Asses, Mules And Hinnies, Live","February 2016","19,980"
"010121 Horses, Live, Purebred Breeding","2016 through February","5,209"
"010121 Horses, Live, Purebred Breeding","January 2016","5,209"
"010129 Horses, Live, Other Than Purebred Breeding","2016 through February","29,751"
"010129 Horses, Live, Other Than Purebred Breeding","January 2016","9,771"
"010129 Horses, Live, Other Than Purebred Breeding","February 2016","19,980"
"0106 Animals, Live, Nesoi","2016 through February","2,700"
"0106 Animals, Live, Nesoi","February 2016","2,700"
"010619 Mammals, Live, Nesoi","2016 through February","2,700"
"010619 Mammals, Live, Nesoi","February 2016","2,700"
"02 Meat And Edible Meat Offal","2016 through February","6,819,555"
"02 Meat And Edible Meat Offal","January 2016","3,238,397"
"02 Meat And Edible Meat Offal","February 2016","3,581,158"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2016 through February","39,683"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","January 2016","20,847"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","February 2016","18,836"
"020120 Meat, Bovine Cuts With Bone In, Fresh Or Chilled","2016 through February","21,482"
"020120 Meat, Bovine Cuts With Bone In, Fresh Or Chilled","January 2016","12,644"
"020120 Meat, Bovine Cuts With Bone In, Fresh Or Chilled","February 2016","8,838"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","2016 through February","18,201"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","January 2016","8,203"
