"State Imports by HS Commodities"
"Current date: 05/12/2016 10:25 PM (Eastern Daylight Time)"
"Measures: Total Value ($US)"
"State: All States"
"Country: World Total"
"Commodity","Time","Total Value ($US)",
"All Commodities","2016 through March","512,724,080,943"
"All Commodities","January 2016","165,847,751,947"
"All Commodities","February 2016","168,306,470,429"
"All Commodities","March 2016","178,569,858,567"
"01 Live Animals","2016 through March","779,015,309"
"01 Live Animals","January 2016","205,419,907"
"01 Live Animals","February 2016","237,979,955"
"01 Live Animals","March 2016","335,615,447"
"02 Meat And Edible Meat Offal","2016 through March","2,063,173,020"
"02 Meat And Edible Meat Offal","January 2016","700,904,203"
"02 Meat And Edible Meat Offal","February 2016","631,989,733"
"02 Meat And Edible Meat Offal","March 2016","730,279,084"
"03 Fish, Crustaceans & Aquatic Invertebrates","2016 through March","3,555,720,629"
"03 Fish, Crustaceans & Aquatic Invertebrates","January 2016","1,250,857,308"
"03 Fish, Crustaceans & Aquatic Invertebrates","February 2016","1,180,196,145"
"03 Fish, Crustaceans & Aquatic Invertebrates","March 2016","1,124,667,176"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","2016 through March","633,325,704"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","January 2016","204,822,436"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","February 2016","204,453,958"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","March 2016","224,049,310"
"05 Products Of Animal Origin, Nesoi","2016 through March","224,843,800"
"05 Products Of Animal Origin, Nesoi","January 2016","72,462,019"
"05 Products Of Animal Origin, Nesoi","February 2016","78,535,772"
"05 Products Of Animal Origin, Nesoi","March 2016","73,846,009"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","2016 through March","531,046,955"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","January 2016","183,968,106"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","February 2016","193,335,894"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","March 2016","153,742,955"
"07 Edible Vegetables & Certain Roots & Tubers","2016 through March","3,145,580,540"
"07 Edible Vegetables & Certain Roots & Tubers","January 2016","1,070,680,436"
"07 Edible Vegetables & Certain Roots & Tubers","February 2016","1,057,720,301"
"07 Edible Vegetables & Certain Roots & Tubers","March 2016","1,017,179,803"
"08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","2016 through March","4,322,058,051"
"08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","January 2016","1,418,653,314"
"08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","February 2016","1,410,316,816"
"08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","March 2016","1,493,087,921"
"09 Coffee, Tea, Mate & Spices","2016 through March","1,783,915,293"
"09 Coffee, Tea, Mate & Spices","January 2016","571,974,802"
"09 Coffee, Tea, Mate & Spices","February 2016","585,113,198"
